('4M', 'STOP', 'STOP', '5'),
('A0', 'CAMERALE', 'CAM', '3'),
('A1', 'DISCUSSIONE', 'DISC', '3'),
('A2', 'COLLEGIALE', 'COLL', '6'),
('A3', 'TRATTAZIONE', 'TRATT', '3'),
('A4', 'PAUSA', 'PAUSA', '-'),
('A5', 'PAUSA', 'PAUSA', '-'),
('A6', 'PAUSA', 'PAUSA', '-'),
('A7', 'DISCUSSIONE', 'DISC', '3'),
('A8', 'DISCUSSIONE', 'DISC', '3'),
('A9', 'CONVALIDA', 'CONV', '3'),
('AA', 'FINE', 'FINE', '5'),
('AB', 'STOP', 'STOP', '5'),
('AC', 'COLLEGIALE', 'COLL', '6'),
('AD', 'TRATTAZIONE', 'TRATT', '3'),
('AE', 'STALLO', 'STALLO', '0'),
('AF', 'ISCRIZIONE', 'ISCR', '1'),
('AG', 'ASSEGNAZIONE', 'ASS', '2'),
('AH', 'STOP', 'STOP', '5'),
('AI', 'ISCRIZIONE', 'ISCR', '1'),
('AJ', 'TRATTAZIONE', 'TRATT', '3'),
('AK', 'STOP', 'STOP', '5'),
('AL', 'DEPOSITO PROVVEDIMENTI', 'DEP. PROVV', '4'),
('AM', 'DEPOSITO MOTIVAZIONE', 'DEP. MOT', '4'),
('AN', 'STOP', 'STOP', '5'),
('AO', 'STOP', 'STOP', '5'),
('AP', 'PUBBLICAZIONE', 'PUBB', '4'),
('AQ', 'STALLO', 'STALLO', '0'),
('AR', 'STOP', 'STOP', '5'),
('AS', 'ISCRIZIONE', 'ISCR', '1'),
('AT', 'STOP', 'STOP', '5'),
('AU', 'TRATTAZIONE', 'TRATT', '3'),
('AV', 'ISTRUTTORIA', 'ISTR', '3'),
('AW', 'RISERVATO', 'RIS', '-'),
('AX', 'CONSIGLIO', 'CONS', '3'),
('AY', 'CORREZIONE', 'CORR', '-'),
('AZ', 'RESTART', 'REST', '-'),
('B1', 'DEPOSITO DOCUMENTI', 'DEP. DOC', '2'),
('B2', 'DISCUSSIONE', 'DISC', '3'),
('B3', 'COLLEGIALE', 'COLL', '6'),
('B4', 'TRATTAZIONE', 'TRATT', '3'),
('B5', 'ISTRUTTORIA', 'ISTR', '3'),
('B6', 'COLLEGIALE', 'COLL', '6'),
('BA', 'DEPOSITO ISTANZA', 'DEP. IST', '2'),
('BB', 'DEPOSITO ATTI', 'DEP. ATTI', '2'),
('BC', 'UDIENZA REVOCA', 'UD. REV', '3'),
('BD', 'DEPOSITO ISTANZA', 'DEP. IST', '2'),
('BE', 'DICHIARAZIONE', 'DICH', '3'),
('BF', 'PUBBLICAZIONE', 'PUBB', '4'),
('BG', 'FINE', 'FINE', '5'),
('BH', 'ASSEGNAZIONE', 'ASS', '2'),
('BI', 'DEPOSITO ISTANZA', 'DEP. IST', '2'),
('BJ', 'DICHIARAZIONE', 'DICH', '3'),
('BL', 'ISCRIZIONE', 'ISCR', '1'),
('BY', 'ISCRIZIONE', 'ISCR', '1'),
('C1', 'ASSUNZIONE', 'ASSU', '3'),
('C2', 'TRATTAZIONE', 'TRATT', '3'),
('C3', 'PRESIDENZIALE', 'PRES', '3'),
('C6', 'RESTART', 'REST', '-'),
('CA', 'STOP', 'STOP', '5'),
('CB', 'TRATTAZIONE', 'TRATT', '3'),
('CC', 'COLLEGIALE', 'COLL', '6'),
('CD', 'STOP', 'STOP', '5'),
('CE', 'CORREZIONE', 'CORR', '-'),
('CF', 'RESTART', 'REST', '-'),
('CG', 'DECISIONE', 'DEC', '4'),
('CH', 'FINE', 'FINE', '5'),
('CL', 'STOP', 'STOP', '5'),
('CM', 'FINE', 'FINE', '5'),
('CO', 'COLLEGIALE', 'COLL', '6'),
